8.137709,45.635079,66.61,0.43,17.29,3.2,0.04,0.81,2.33,3.68,5.29,0.31,1293,130.9,187.7,0.7,350.3,21.1,58,116,49.2
8.136722,45.635444,67.72,0.44,16.59,3.4,0.06,0.88,2.55,3.83,4.32,0.2,901.4,129.2,176.9,0.73,341.5,24.2,71.9,133.6,66.5
8.132028,45.637333,68.54,0.29,17.05,2.74,0.06,0.41,1.82,4.03,4.95,0.11,710.1,105.8,134.2,0.79,392.5,20.2,135.4,263.7,134.1
8.130861,45.637556,67.99,0.44,15.7,3.43,0.06,0.71,2.51,3.33,5.67,0.15,1268,140.7,181.7,0.77,402.1,33.6,133.6,249.1,100.9
8.130583,45.637611,65.62,0.45,17.72,3.64,0.05,0.83,2.63,3.96,4.93,0.18,1643,102.5,181.8,0.56,436.3,33.5,160.4,296,145.7
8.130582,45.63762,69.2,0.42,16.24,2.86,0.04,0.64,2.01,3.93,4.53,0.13,595,89.6,89.4,1,338.8,18.6,87.8,169.7,74.4
8.144383,45.631776,68.53,0.56,15.66,3.72,0.07,0.98,1.91,3.42,4.94,0.22,1176,140.9,177,0.8,354.4,54.8,95.1,189.8,81.2
8.144045,45.633388,69.48,0.34,16.01,2.67,0.04,0.8,2.11,3.45,4.96,0.14,937.9,113.8,171.6,0.66,277.3,23.1,36.5,77.7,36.9
8.162337,45.592487,69.02,0.46,15.71,3.42,0.06,0.72,2.41,3.59,4.46,0.15,806.2,148.3,149.3,0.99,338.3,38.7,79.3,165.5,69.5
8.161013,45.593749,68.42,0.48,16.2,3.39,0.05,1.27,1.49,3.62,4.92,0.16,870.4,155.9,137.4,1.13,313.6,33.5,72.3,133.8,64.9
8.161664,45.593598,70.09,0.39,15.67,2.93,0.05,0.7,1.55,3.48,4.98,0.14,896,139.8,138,1.01,270.8,27.1,65.2,130.3,58
8.163443,45.59189,69.67,0.47,15.46,3.48,0.05,0.75,2.09,3.4,4.48,0.15,861.5,146.2,145.7,1,314.6,31.4,69.4,138.8,60.8
8.163868,45.591332,68.54,0.48,16.35,3.27,0.03,0.73,1.99,3.61,4.75,0.26,803,174.8,159.9,1.09,301.7,25.3,51.9,103.8,44.3
8.167785,45.589862,70.4,0.44,15.35,3.17,0.05,0.79,1.45,3.39,4.81,0.15,911.8,146.5,128.1,1.14,284.8,30.2,52.7,115.3,49.2
8.153848,45.622592,70.19,0.3,15.67,2.45,0.03,0.47,1.75,3.55,4.71,0.12,603,211.4,109.5,1.93,284.8,20,97,192.7,75.8
8.146675,45.638523,69.12,0.52,15.41,3.68,0.05,1.03,2.05,3.21,4.75,0.18,651,185.5,147.7,1.26,312,34.9,73,165.6,71
8.177371,45.609206,70.86,0.33,15.29,2.34,0.05,0.65,1.22,3.46,5.66,0.13,688,209.6,123.7,1.69,214.4,30.3,45.9,94.3,43.5
8.183479,45.607125,71.8,0.4,14.69,2.74,0.04,0.79,1.04,3.19,5.18,0.14,571.7,224.1,103.9,2.16,240.1,39.1,47.6,100.1,51
8.143266,45.645084,72.4,0.38,13.97,2.52,0.04,0.72,1.5,3.05,5.27,0.15,493.3,184.5,114,1.62,182.2,44,41.2,79.4,37.6
8.143416,45.644337,73.81,0.25,13.62,1.97,0.05,0.46,1.18,2.99,5.58,0.09,472,185.3,93,1.99,207.6,42.7,44.7,91.3,42
8.177043,45.609032,71.18,0.25,16.03,2.04,0.03,0.5,1.08,3.51,5.27,0.1,625.8,190.9,113,1.69,177.4,31,36.4,81.4,44
8.144521,45.632188,71.37,0.31,15.34,2.57,0.05,0.64,1.54,3.68,4.37,0.13,546.9,192.3,129.1,1.49,248.4,42.8,46.7,85.7,45.3
8.177895,45.609752,69.81,0.36,15.85,2.9,0.05,1.23,1.19,3.63,4.83,0.15,620.5,196.9,112,1.76,252.1,42.1,58.1,110.3,54.5
8.177121,45.609789,70.65,0.47,14.77,3.82,0.06,1.26,1.77,3.62,3.35,0.23,414.2,201.3,105.8,1.9,375.4,37.8,66.2,132.6,68.6
8.176642,45.609625,73,0.26,14.8,2.05,0.04,0.68,1.13,3.26,4.64,0.14,460.5,186.4,91.8,2.03,188.7,32.3,38.3,78.4,39.8
8.178037,45.609262,71.52,0.27,15.44,2.13,0.04,0.74,1.12,3.53,5.1,0.11,593.5,192.4,101.9,1.89,200.5,33.6,51.7,96.3,47.5
8.181059,45.606909,69.78,0.31,15.97,2.54,0.05,0.58,1.45,3.39,5.81,0.13,918.6,221.8,130.4,1.7,220.1,35.6,32.7,62,31.4
8.143462,45.637167,70.57,0.25,16.18,1.85,0.03,0.31,1.06,3.23,6.43,0.09,736.7,210.5,121.9,1.73,181.7,27.1,22.6,53.3,21.5
8.143531,45.63723,70.03,0.43,15.88,3,0.05,0.84,2.03,3.81,3.78,0.16,519,161.7,131.4,1.23,217,31.8,36,74.8,32.7
8.144124,45.637686,69.91,0.37,16.02,2.76,0.05,0.71,1.44,3.46,5.17,0.11,543.1,222.8,106,2.1,256,47.8,44.9,93.1,48.2
8.142302,45.637603,73.02,0.22,15.12,1.84,0.04,0.45,1.3,3.81,4.11,0.08,403.1,159.1,102.6,1.55,189.9,54.3,37.7,70,37.3
8.165561,45.613862,72.12,0.2,15.56,1.78,0.03,0.36,1.14,3.51,5.21,0.09,469.1,201.9,97.9,2.06,177.8,43,27.8,61.1,29.2
8.17413,45.608423,71.7,0.33,15.3,2.61,0.05,0.56,1.36,3.49,4.43,0.16,675.7,178.9,124,1.44,243.5,37.9,48.4,93.2,50.9
8.143416,45.644337,71.62,0.23,15.31,2.09,0.04,0.35,1.52,3.6,5.15,0.09,458.5,187.5,102,1.84,189.1,44.7,33.3,75.1,39.4
8.168721,45.59238,70.8,0.39,15.39,2.74,0.04,0.51,1.81,3.34,4.83,0.16,761.2,184,127.6,1.44,253.8,24.2,38,77.7,33.3
8.165383,45.587332,71.7,0.3,15.35,2.34,0.04,0.51,1.08,3.47,5.12,0.1,722.5,149.2,113.8,1.31,251.3,30.3,56.2,109,49.6
8.183311,45.601743,72.4,0.3,14.68,2.52,0.05,0.53,1.02,3.53,4.88,0.1,516.4,200,80.7,2.48,213.3,47.3,57.9,115.7,54.7
8.182251,45.604554,72.93,0.28,14.73,2.18,0.04,0.44,0.97,3.39,4.95,0.09,536.4,207.2,86.2,2.4,180.1,35,42.3,88.7,41.1
8.169297,45.62401,70.95,0.27,16.62,1.9,0.03,0.47,0.83,3.64,5.13,0.16,436,249.1,99.5,2.5,164.8,28,35.9,74,34.7
8.174601,45.634507,70.59,0.38,15.15,2.73,0.04,0.74,1.54,3.38,5.33,0.13,619,186.2,120.7,1.54,225.2,48.8,78.1,115.5,69.8
8.180359,45.622996,72.96,0.22,15.55,1.89,0.04,0.41,0.87,3.24,4.64,0.18,310.2,230.3,80.2,2.87,139.1,34.6,32.3,67.3,31
8.184982,45.619214,72.4,0.21,16.1,1.61,0.04,0.44,0.74,3.45,4.8,0.21,316,234.3,90.2,2.6,117.5,21.3,29.7,61,23.7
8.171501,45.619111,70.58,0.31,15.89,2.39,0.04,0.55,1.44,3.59,5.09,0.12,680.9,203.5,114.4,1.78,211.1,33.7,41.1,89.7,48
8.175363,45.637249,71.24,0.24,16.73,1.92,0.04,0.38,0.97,3.44,4.92,0.11,524.7,214.4,96.3,2.23,168.3,36.1,34.5,79.4,37.1
8.169582,45.629726,71.37,0.35,14.99,2.73,0.05,0.67,1.78,3.49,4.44,0.13,565,176.3,121.7,1.45,272.8,36.8,59.1,119.1,51.8
8.172205,45.634748,71.06,0.31,15.68,2.34,0.04,0.57,1.48,3.35,5.02,0.16,610.6,199.4,129.6,1.54,207.1,41.2,49.5,87,51.4
8.170901,45.638063,70.82,0.3,15.52,2.24,0.04,0.57,1.57,3.48,5.29,0.17,600.7,212.7,127.1,1.67,191.2,34.7,39.3,86,42
8.170039,45.637452,69.73,0.37,16.23,2.75,0.05,0.66,1.7,3.66,4.7,0.16,556.5,219.8,116.4,1.89,225.2,41.3,40.1,79.7,41.7
8.169845,45.638015,70.24,0.28,16.29,2.3,0.04,0.49,1.4,3.42,5.41,0.12,839,209.5,120.4,1.74,203.1,38.2,65.3,85.4,48.3
8.182668,45.608314,71.87,0.27,15.68,2.23,0.04,0.63,0.96,3.44,4.76,0.12,469.9,230.9,87,2.65,204.3,33.1,31.6,69.9,41.8
8.167958,45.611956,71.1,0.31,16.01,2.39,0.04,0.53,1.15,3.54,4.77,0.16,571.6,194.8,117.5,1.66,224.4,36.3,50.8,97,48.1
